2020-08-14 21:30:09,732 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:10,236 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:10,740 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:11,243 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf08>)
2020-08-14 21:30:11,747 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:12,251 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf08>)
2020-08-14 21:30:12,754 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:13,258 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf08>)
2020-08-14 21:30:13,761 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:14,265 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf08>)
2020-08-14 21:30:14,769 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:15,273 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:15,777 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:16,280 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:16,784 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:17,287 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:17,790 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:18,294 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:18,797 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:19,302 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:19,806 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:20,309 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:20,813 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:21,317 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:21,820 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:22,324 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bd78>)
2020-08-14 21:30:22,827 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:23,331 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:23,835 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:24,338 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:24,842 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:25,346 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:25,850 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:26,354 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:26,858 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:27,363 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:27,866 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:28,370 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:28,874 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
2020-08-14 21:30:29,378 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:29,881 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598be40>)
2020-08-14 21:30:30,385 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf30>)
2020-08-14 21:30:30,889 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:31,393 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:31,896 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:32,400 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:32,903 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:33,409 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:33,913 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:34,417 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:34,921 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:35,425 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:35,928 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:36,432 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:36,935 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf58>)
2020-08-14 21:30:37,441 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bf80>)
2020-08-14 21:30:37,944 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:38,448 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfd0>)
2020-08-14 21:30:38,952 :: INFO :: (<type 'exceptions.IOError'>, IOError(6, 'No such device or address'), <traceback object at 0xb598bfa8>)
